
query run time: Tue Dec 10 23:47:50 2019
It took 48.6422009468 seconds to get data from Cassandra for query 3
NB Foster station length: 1.6 miles
average travel time from 2011-09-22 00:00:00 to 2011-09-22 00:05:00 is 98.0332829047 seconds
average travel time from 2011-09-22 00:05:00 to 2011-09-22 00:10:00 is 91.9964507542 seconds
average travel time from 2011-09-22 00:10:00 to 2011-09-22 00:15:00 is 97.0786516854 seconds
average travel time from 2011-09-22 00:15:00 to 2011-09-22 00:20:00 is 98.7315735345 seconds
average travel time from 2011-09-22 00:20:00 to 2011-09-22 00:25:00 is 97.969762419 seconds
average travel time from 2011-09-22 00:25:00 to 2011-09-22 00:30:00 is 96.3824701195 seconds
average travel time from 2011-09-22 00:30:00 to 2011-09-22 00:35:00 is 94.0088405304 seconds
average travel time from 2011-09-22 00:35:00 to 2011-09-22 00:40:00 is 97.8184193338 seconds
average travel time from 2011-09-22 00:40:00 to 2011-09-22 00:45:00 is 96.644295302 seconds
average travel time from 2011-09-22 00:45:00 to 2011-09-22 00:50:00 is 91.7754172989 seconds
average travel time from 2011-09-22 00:50:00 to 2011-09-22 00:55:00 is 95.4997631454 seconds
average travel time from 2011-09-22 00:55:00 to 2011-09-22 01:00:00 is 93.9594661394 seconds
average travel time from 2011-09-22 01:00:00 to 2011-09-22 01:05:00 is 94.4746283957 seconds
average travel time from 2011-09-22 01:05:00 to 2011-09-22 01:10:00 is 92.3076923077 seconds
average travel time from 2011-09-22 01:10:00 to 2011-09-22 01:15:00 is 96.3907734057 seconds
average travel time from 2011-09-22 01:15:00 to 2011-09-22 01:20:00 is 97.4485596708 seconds
average travel time from 2011-09-22 01:20:00 to 2011-09-22 01:25:00 is 94.4746283957 seconds
average travel time from 2011-09-22 01:25:00 to 2011-09-22 01:30:00 is 94.2331288344 seconds
average travel time from 2011-09-22 01:30:00 to 2011-09-22 01:35:00 is 94.5485961123 seconds
average travel time from 2011-09-22 01:35:00 to 2011-09-22 01:40:00 is 95.2704514975 seconds
average travel time from 2011-09-22 01:40:00 to 2011-09-22 01:45:00 is 95.1152073733 seconds
average travel time from 2011-09-22 01:45:00 to 2011-09-22 01:50:00 is 94.598540146 seconds
average travel time from 2011-09-22 01:50:00 to 2011-09-22 01:55:00 is 96.0942100098 seconds
average travel time from 2011-09-22 01:55:00 to 2011-09-22 02:00:00 is 94.9868073879 seconds
average travel time from 2011-09-22 02:00:00 to 2011-09-22 02:05:00 is 98.4172661871 seconds
average travel time from 2011-09-22 02:05:00 to 2011-09-22 02:10:00 is 98.5430463576 seconds
average travel time from 2011-09-22 02:10:00 to 2011-09-22 02:15:00 is 94.0927152318 seconds
average travel time from 2011-09-22 02:15:00 to 2011-09-22 02:20:00 is 94.693877551 seconds
average travel time from 2011-09-22 02:20:00 to 2011-09-22 02:25:00 is 98.5430463576 seconds
